verb,year,register,source,frame,gracom,com,actcom,text
feign,2003,NEWS,Denver ,fav,n,ignorant,ignorance,  he at best had insufficient grasp of his department's activities or at worst is feigning ignorance. # ' I have a hard time believing that if you're in
feign,2002,SPOK,NBC_Dateline ,fav,n,ignorant,ignorance,"  after 25 years of inspecting meat departments, he's never surprised when a manager feigns ignorance. (Rod-Preiss-inspect) LARSON: So the meat manager will sort of say,'"
feign,2002,FIC,Atlantic ,fav,n,ignorant,ignorance,"  VAUZOU: FEBRUARY 2, 1899 To do as you did the Benedictine repeated, feigning ignorance. Oh, don't tell me you haven't heard the rumors!"
feign,2002,NEWS,NYTimes ,fav,n,ignorant,ignorance,"  : //www.nytimes.com 1663 # On the campaign trail, Gov. George E. Pataki often feigned ignorance about what his campaign aides were up to. More than once he deflected"
feign,2002,NEWS,WashPost ,fav,n,ignorant,ignorance,"  . Although most parents of the dead are in the dark -- or at least feign ignorance -- about their offspring's activities, Farahat said she was in on Mohammed"
feign,2002,ACAD,AfricanArts ,fav,n,ignorant,ignorance,"  with two round eyes. When Peera asked him what it was, he initially feigned ignorance, but finally called it a shetani, meaning, in Kiswahili, a"
feign,2001,FIC,Mov:GhostWorld ,fav,n,ignorant,ignorance,  number and my name is Dana... um... BYE! ENID Wow! (feigning ignorance) What was that all about? # SEYMOUR # It's just somebody
feign,2001,MAG,Parenting ,fav,n,ignorant,ignorance,"  And it's not a car. "" "" Hmmm, "" says Tracy, feigning ignorance. "" Ride a tricycle? "" "" No, no. Skateboard!"
feign,1998,MAG,PsychToday ,fav,n,ignorant,ignorance,"  or tripping on sounds. Some manage to avoid outward symptoms by substituting words and feigning ignorance. "" They can be so good at avoidance that their coworkers and even"
feign,1996,FIC,HarpersMag ,fav,n,ignorant,ignorance,"  , with a trench coat as cape. And the next morning, he'd feign ignorance at the newly developed pictures, at the newly bannered headlines, at the"
feign,1995,ACAD,CrossCurrents ,fav,n,ignorant,ignorance,"  process of repentance with the story of Cain. When asked by God, Cain feigns ignorance of his brother's whereabouts, saying, "" lo yadati "" -- I"
feign,1994,FIC,LiteraryRev ,fav,n,ignorant,ignorance,"  and slowly raising his mustache, poor thing. I spoke of everything, and feigned crass ignorance in order to awaken his pride. I explained a theory to him"
feign,1994,FIC,Bk:LordRavensPeak ,fav,n,ignorant,ignorance,"  would have her, and she recognized the certainty in him. But she would feign ignorance until she could think of something, anything... "" Actually, Merrik"
feign,1992,NEWS,WashPost ,fav,n,ignorant,ignorance,"  a neighboring state, aren't you, Mr. Stephens? "" she asked, feigning ignorance of his Virginia residency. # Last year the city cable television channel opted"
feign,1991,FIC,BkSF:SadarsKeep ,fav,n,ignorant,ignorance,"  , I am disappointed in you. "" Lirrel laughed, shrugged her shoulders, feigning ignorance. Then a spark of amusement gleamed in her eyes. "" No,"
feign,1991,FIC,Bk:LoveMoney ,fav,n,ignorant,ignorance,"  stole, the one he gave to you. "" Mel didn't try to feign ignorance. "" How did you know? "" he asked. "" Because you"
feign,1991,FIC,Mov:StarTrek06 ,fav,n,ignorant,ignorance,"  next to Gorkon. 61 Continued Kirk My God, what happened here? Chang You feign ignorance? Kirk WHAT HAPPENED? Chang You crippled our gravitational field with a direct"
pretend,2017,MAG,Jezebel,fav,inf,ignorant,ignorant,"  was saying, "" A think tank in Aspen. "" # Here she is pretending to be ignorant while in a bunker: # Here she is pretending to be"
pretend,2017,MAG,Jezebel,fav,inf,ignorant,ignorant,  she is pretending to be ignorant while in a bunker: # Here she is pretending to be ignorant while drinking whiskey in the backseat of a town car: #
pretend,1993,FIC,Bk:AreYouMine?,fav,inf,ignorant,ignorant,"  , of which she was ignorant. Or of which, anyway, she must pretend to be ignorant, in order to keep being truthful. The counselor wanted her"
pretend,1993,FIC,BkSF:StrangeDevices,fav,inf,ignorant,ignorant,"  good it, not a bad one. How had that changed? Should he pretend be as ignorant as Will's foolish friends? Most of them hadn't en"
pretend,2011,FIC,NewStatesman ,fav,n,ignorant,ignorance,"  "" What did you do with our... with our donation? "" # She pretended ignorance at first. "" I don't know what youses are talking about."
pretend,2009,FIC,Bk:DecisionDestiny ,fav,n,ignorant,ignorance,"  courage, she stepped closer. # "" Ah yes, "" he mused, pretending ignorance of her quandary and coming to his feet, "" the lady expects a"
pretend,2003,FIC,FantasySciFi ,fav,n,ignorant,ignorance,"  . Hearing her translation, the Tartars leaned closer, asking soft questions. Blue-Eyes pretended ignorance, "" what do you mean invisible? "" # "" Transparent, not"
pretend,2001,FIC,Analog ,fav,n,ignorant,ignorance,"  behave. "" "" Interesting thought. How do they work? "" "" Quit pretending ignorance. You know they're subliminal chemical messengers with which living creatures communicate to"
pretend,2000,FIC,Bk:FarHorizons ,fav,n,ignorant,ignorance,"  perfectly capable of it himself. If Rayaye's men had tortured him and Rayaye pretended ignorance of the fact, Esdan had nothing to gain by insisting on it."
pretend,1999,FIC,Analog ,fav,n,ignorant,ignorance,"  still dying to know the secret. "" The secret? "" Mark stammered, pretending ignorance and feigning an absent-mindedness that he hoped would fool Benz. "" Yes,"
pretend,1997,ACAD,AcademicQs ,fav,n,ignorant,ignorance,"  see no reason, or are too weak, to object, or perhaps they pretend ignorance of what is being taught in them. 11 Whatever the explanation, the situation"
pretend,1995,FIC,FantasySciFi ,fav,n,ignorant,ignorance,"  We can pretend to forget them, pretend we don't care about them, pretend every color of ignorance possible. But some of the millions have come to watch"
pretend,1994,MAG,ChristToday ,fav,n,ignorant,ignorance,"  shut one's eyes to an injustice, to look the other way, to pretend ignorance of evil -- to do these things is to connive. We generally think"
pretend,1993,FIC,Bk:Homeland ,fav,n,ignorant,ignorance,"  announced his plan for their grand tour. It was part of his scheme to pretend to absolute ignorance of the trashy German boy. When he finished, Julie said"
feign,2014,FIC,GettysburgRev ,fav,n,interested,interest,"  older, Lila latched onto me early in her period of adjustment to Lindenville, feigning an interest in Cops and other crappy TV I dug then, surprising the other"
feign,2014,NEWS,Denver ,fav,n,interested,interest,"  below the city. He said he'd seen it during World War I. I feigned interest in his ancient story as I had my whole life. Weeks later,"
feign,2013,FIC,Bk:IsThisTomorrow ,fav,n,interested,interest,"  really mattered. She felt a pang for him, a boy so lonely he feigned interest in how many eggs and how much sugar a cake might need. He"
feign,2013,FIC,Bk:DeathRobberBaron ,fav,n,interested,interest,"  heard that Jennings was greedy and ruthless, as well as rich. But she feigned polite interest. "" What's special about him, compared to other successful businessmen"
feign,2013,FIC,FantasySciFi ,fav,n,interested,interest,"  tries to think of something to say to interrupt this awkward moment. "" Just feign interest when they talk to you, "" Yuri finally says. But even Vitaly"
feign,2013,FIC,LegalStudiesForum ,fav,n,interested,interest,"  Over lunch, she would drink and let the interviewer get fresh. She would feign interest in patent law. She would part her legs when the interviewer's hand"
feign,2013,MAG,PopScience ,fav,n,interested,interest,"  the air. At first, I walk toward him and then swing wide to feign interest in a table covered with crystal curios. When Suge isn't looking,"
feign,2012,FIC,Bk:CaughtInAct ,fav,n,interested,interest,"  tall, maybe six feet. Under different circumstances, she wouldn't have to feign interest. # "" This must be an exciting job, "" she ventured,"
feign,2011,FIC,Bk:StrangerOnPlanet ,fav,n,interested,interest,"  he had predicted, he called them bums and sons of bitches. My mother feigned interest for a while, then excused herself to put Seamus to bed. When"
feign,2011,MAG,SportingNews ,fav,n,interested,interest,  the win-loss stat is as outdated as bellbottoms and stirrups. # * Watching MLB feign big-time interest in the amateur draft is both comical and sad. # * Lenny
feign,2011,ACAD,Poetry ,fav,n,interested,interest,"  Donne out loud in my dorm room, for instance, with my college girlfriend feigning interest); I know how to read it when trying to write it ("
feign,2010,FIC,Bk:BoleynWife ,fav,n,interested,interest,"  at me each time she posed a question, waiting expectantly for my answers and feigning an interest I knew he did not feel. As I stood before them I"
feign,2010,FIC,FantasySciFi ,fav,n,interested,interest,"  paying passengers. He mingled at the cocktail hour of the Waikiki Bar, and feigned an interest in a whole variety of passenger activities about which he couldn't have"
feign,2010,FIC,Bk:GirlInGatehouse ,fav,n,interested,interest,"  around. Miss Dixon, on the opposite bench, quickly averted her gaze, feigning interest in the fringes of her reticule, as if she had not noticed any"
feign,2010,ACAD,MiddleEastQ ,fav,n,interested,interest,"  Iran. # At the same time, there is a loud, though ultimately feigned, interest in the Palestinian issue. The Saudis have been vocal opponents of Zionism"
feign,2009,FIC,Bk:StrongEnoughDie ,fav,n,interested,interest,"  # # Navarro studied the pages again, less cursorily this time, no longer feigning interest. "" You received a commendation for what happened at the border, saving"
feign,2009,FIC,Bk:Precious ,fav,n,interested,interest,"  searching for Vicki. She wanted nothing more than to feed her daughter dinner and feign interest as Vicki showed her the treasures of the day: the rock, the"
feign,2009,FIC,Bk:Ruins ,fav,n,interested,interest,"  young men were now seen erecting homemade sails on boards all over the coasts, feigning interest in things like barometric pressure and practicing their skills walking on water. # "
feign,2009,FIC,Bk:ArthasRiseLich ,fav,n,interested,interest,"  he'd make sure he told his father anyway. # Arthas looked down, feigning interest in watching the dozens of guards who stood at rigid attention. He wondered"
feign,2009,FIC,Bk:EternalJourney ,fav,n,interested,interest,"  Get him all kinds of publicity on the National Geographic Channel or "" # Annja feigned interest in something on the rise and headed in that direction. "" One hour"
feign,2009,FIC,Bk:DirectedVerdict ,fav,n,interested,interest,"  "" Why did you feel so burdened? "" he asked, leaning forward, feigning interest. # The question elicited a quick response from the prosecuting attorney, a"
feign,2009,FIC,Triquarterly ,fav,n,interested,interest,"  into language. Sometimes harsh and barbaric, he was at his most dangerous when feigning interest. Then he could slice through the acid comments that showed how critically he"
feign,2008,FIC,Bk:StreetsFire ,fav,n,interested,interest,"  gone back to an unfortunate habit of reciting execrable limericks. Webb usually tried to feign polite interest in Hopkins's attempts at humorous verse, but he had come to"
feign,2008,FIC,Analog ,fav,n,interested,interest,"  it himself. "" I turned a few pages carefully with a gloved hand, feigning interest in the curlicues of the text and the crude colored drawings. "" I"
feign,2008,FIC,Bk:ChasingHarryWinston ,fav,n,interested,interest,"  most likely, Dutch clog-wearers. After spotting her neighbor wearing an air cast and feigning interest in the woman's disgusting-sounding foot ailments including (but not limited to)"
feign,2008,FIC,Bk:FishermansBend ,fav,n,interested,interest,  I asked a few questions-more out of curiosity than anything else. I wasn't feigning interest out of politeness anymore. I was genuinely intrigued. # It was abundantly
feign,2008,FIC,AntiochRev ,fav,n,interested,interest,"  this very city in Mexico. "" The little Triqui looked at Brenda pleasantly, feigning understanding and interest. "" We had a black Ford with a running board."
feign,2007,FIC,MassachRev ,fav,n,interested,interest,  would soften the edges of his boredom with wine and do his level best to feign an interest in whatever dullness Stephanie brought out for conversation He went back into the
feign,2007,FIC,LiteraryRev ,fav,n,interested,interest,"  the dead things, "" Carla said. "" Hmmm, "" he said, feigning interest out of desperation. "" Do goannas eat dead things? That's a"
feign,2007,FIC,Bk:Boomsday ,fav,n,interested,interest,"  generation whatever. "" Even one or two advertisers were starting to come in, feigning interest. In a moment of weakness, she'd posted a photograph of herself"
feign,2007,MAG,Cosmopolitan ,fav,n,interested,interest,"  that I'm obsessed with zombie movies, that's great. But if she feigns interest while I play video games, she's letting me get away with too"
feign,2006,FIC,Bk:PrincessIzzyE ,fav,n,interested,interest,"  preferable if the woman in question had no interests at all. The ability to feign interest-that was the important quality in a princess. A princess-orprince, for that matter-who"
feign,2006,FIC,Bk:PrincessIzzyE ,fav,n,interested,interest,  And the fact that she had some noble ties and was very presentable and could feign interest at even the most dreadful exhibit of mid-twentieth-century household tools was so much the
feign,2006,MAG,AmSpect ,fav,n,interested,interest,"  : Disrupt and occupy offices that promote "" militarism. "" Deplete recruiting finds by feigning interest in a military career to recruiters. Shout recruiters down. (Presumably not"
feign,2006,MAG,AmSpect ,fav,n,interested,interest,"  in a military career to recruiters. Shout recruiters down. (Presumably not while feigning interest.) Scatter fake body bags. Make the streets "" ungovernable "" """
feign,2005,FIC,KenyonRev ,fav,n,interested,interest,"  they stopped on the steps of the church and he had to turn aside, feign interest in a shop of Mardi Gras masks. There was the long beak of"
feign,2005,FIC,FantasySciFi ,fav,n,interested,interest,"  's routines. With nothing to do but poke about the castle and attempt to feign interest in the talk at the nightly banquets, he became ever more convinced that"
feign,2004,FIC,MassachRev ,fav,n,interested,interest,"  since I don't understand any of that stuff-that is Gus, and I should feign more interest in him since he is the reason I am "" allowed "" to"
feign,2004,FIC,NewYorker ,fav,n,interested,interest,"  looked even smaller and more radiant in the sepulchral murk. Bogdan followed her, feigning interest, past painted wooden eggs and sallow bobbin-lace, his chest reverberating with sorrow"
feign,2003,NEWS,NYTimes ,fav,n,interested,interest,"  , before their trip, had been instructed by a recruiter from Al Qaeda to feign an interest in Tablighi Jamaat to build a believable excuse for traveling to Pakistan for"
feign,2003,NEWS,WashPost ,fav,n,interested,interest,  schools have become so fixated on cold hard cash that they've forgotten to even feign an interest in sports-as-education and no longer bother to hide their real underlying motive:
feign,2002,MAG,HarpersMag ,fav,n,interested,interest,"  Plan: unilateralism and global dominance. Like the revised DPG of 1992, Rumsfeld feigns interest in collective action but ultimately rejects it as impractical. "" Wars can benefit"
feign,2002,NEWS,CSMonitor ,fav,n,interested,interest,"  signing up. In the case of apartments or clothing, the mystery shopper typically feigns interest to see how a real customer might be treated. But the job comes"
feign,2001,FIC,Mov:LegallyBlonde ,fav,n,interested,interest,"  Warner discreetly takes the note from him, then looks over at Elle, who feigns interest in the meeting. 4 9 INT. CASK &; FLAGON RESTAURANT - NIGHT"
feign,2001,MAG,Entertainment ,fav,n,interested,interest,"  f-ing with my beer! "" he bellows as the fry cook in the corner feigns interest in the stove. "" You motherf -- ers! As long as there"
feign,2000,ACAD,CrossCurrents ,fav,n,interested,interest,"  about what one might learn as well as offer. Hospitality means authentic, not feigned, interest in the other -- the reality, not just the appearance, of"
feign,1999,FIC,Ploughshares ,fav,n,interested,interest,"  polite of her. Women you could count upon to reciprocate, to at least feign an interest in your life. # Joel, on the other hand, probably"
feign,1999,FIC,LiteraryRev ,fav,n,interested,interest,"  , when his neighborhood is sufficiently still and he is ready for me. He feigns little interest in my life, why I am here, what I care about"
feign,1999,FIC,SouthernRev ,fav,n,interested,interest,"  had lost over time first his interest in her accomplishments and then his ability to feign interest. From various podiums, she always called him her greatest accomplishment, their"
feign,1999,FIC,Mov:InShadowOak ,fav,n,interested,interest,  here reminds me of a gospel called The Prodigal Son. Jam grins a bit feigning interest. FATHER MC NULTY There was once a farmer who had two sons.
feign,1998,FIC,FantasySciFi ,fav,n,interested,interest,"  , I can assure you. Now and then a customer would come in, feigning interest in books or jewelry or what have you, but by and by he"
feign,1998,FIC,MassachRev ,fav,n,interested,interest,  of the players from two years back were already playing in the Majors. She feigned interest. That was easy enough. She didn't mind getting involved in the
feign,1998,FIC,Mov:GodsMonsters ,fav,n,interested,interest,  Too much can be a very bad thing. Clay glances out the window. Feigning a merely casual interest: CLAY Is that why you and your friend split up
feign,1998,MAG,Cosmopolitan ,fav,n,interested,interest,"  , you: a. Secretly listen for the words girlfriend and really happy while feigning interest in the sports section. b. Begin messing with his fly. c"
feign,1998,ACAD,SexResearch ,fav,n,interested,interest,"  experiencing a concomitant desire for the initiated sexual activity. In a sense, they feign sexual desire or interest. Participation by both partners in the sexual activity is consensual"
feign,1997,FIC,Heritage ,fav,n,interested,interest,"  Oh, "" Mrs. Mariano, who had eyed his long hair with distaste, feigned interest, "" what instrument do you study? "" # "" Guitar. """
feign,1997,FIC,Bk:MissingPieces ,fav,n,interested,interest,"  , and the joys of life in southern Florida. I cocked my head, feigned interest in the small talk, probably even contributed to it, but my mind"
feign,1997,FIC,Mov:FifthElement ,fav,n,interested,interest,"  gaggle of PORTERS carrying trunks. Not wanting to draw attention to herself, Leeloo feigns interest in a painting that is obviously upside down. A white chiffon veil covers"
feign,1997,FIC,Mov:Face/Off ,fav,n,interested,interest,  ) I want you guys here around-the-clock. And stay off the lawn. Eve feigns interest in her laptop as Castor enters. She tenses as he starts massaging her
feign,1997,NEWS,USAToday ,fav,n,interested,interest,"  coast visiting cities she'd always wanted to see, at male expense, after feigning on-line interest in a string of men. # Maheu tells of one client recently"
feign,1996,FIC,Bk:DeepEndOcean ,fav,n,interested,interest,"  before it's too late. "" "" Too late? "" Vincent asked, feigning more interest than he felt, desperate to keep her looking at him this way"
feign,1995,FIC,ParisRev ,fav,n,interested,interest,"  fellow saw me and paused, to avoid a second trip, but I quickly feigned interest in the sundries stand, examining a Time magazine with John Dean on the"
feign,1995,FIC,Bk:HorseWhisperer ,fav,n,interested,interest,"  Grace shrugged and still didn't look up. Annie tried to look casual, feigning interest in the pictures on the wall. She stretched and groaned. "" God"
feign,1994,FIC,Triquarterly ,fav,n,interested,interest,"  , "" All of them. "" # She hovers over the Parcheesi board, feigning interest in the game, and her mink stole knocks one of my pieces to"
feign,1994,FIC,FantasySciFi ,fav,n,interested,interest,"  ten million. Yet she wasn't the old man's maybe-favorite for nothing, feigning interest, squinting into the little hole until he seemed satisfied. # "" It"
feign,1994,FIC,IndepSchool ,fav,n,interested,interest,  a mental note to have the grandchildren around during all meals so that he could feign an interest in them if the food was too rich. # And there would
feign,1994,ACAD,Style ,fav,n,interested,interest,"  and never looking at the graffiti face-on but from the other sidewalk or diagonally, feigning interest in the shop window alongside, going away immediately. (33) # "
feign,1994,ACAD,Style ,fav,n,interested,interest,"  ""; "" approaching with indifference ""; "" never looking face-on ""; "" feigning interest "" in something else. Once he has learned to "" read "" the"
feign,1993,FIC,BkJuv:FlightDragonKyn ,fav,n,interested,interest,"  the edge, as I did not wish to blunt my alertness this night. Feigning interest in the dragon hunt, I asked Kazan to show me the knot by"
feign,1993,FIC,Bk:BeamMeUp ,fav,n,interested,interest,"  lonely in the way most of us were or are, and Michael continued to feign interest in lectures, concerts, and frontier women, once or twice feeling Jellie"
feign,1992,FIC,BkSF:DanceDead ,fav,n,interested,interest,"  . Most of the information he had to impart Larissa already knew, but she feigned wide-eyed interest. Once, to show off, Sardan pointed out a gnarled log"
feign,1992,MAG,OutdoorLife ,fav,n,interested,interest,"  I asked what he was using. "" What hatch? "" I asked, feigning only mild interest. "" Why, there's a terrific hatch of Jolly Green"
feign,1992,NEWS,WashPost ,fav,n,interested,interest,"  earlier this year, Japan has "" no interest "" in the SSC and is feigning interest to please Bush. # It is not clear what Congress will do if"
feign,1992,NEWS,WashPost ,fav,n,interested,interest,"  , the Quechuan guide had to give me oxygen for altitude sickness. But I feigned interest in Paul's repeated setup and breakdown of his no-hitch-pitch tent in my living"
feign,1991,FIC,Mov:PointBreak ,fav,n,interested,interest,  UTAH # Good guess. There's a gun on you right now. Bodhi feigns casual interest. Looks around. He can't see... PAPPAS nearby. Moving
feign,1991,MAG,Compute ,fav,n,interested,interest,"  . Studying Larry's techniques will provide you with skills in superficial small talk, feigning interest, and controlling drool. # From practicing safe sex to slaying slimelords,"
feign,1990,FIC,SouthernRev ,fav,n,interested,interest,"  breastfeeding, in favor of machine-washed diapers and early toilet-training), and I responded feigning interest in whatever they said. I was as submissive as a dog in the"
feign,1990,FIC,Mov:Awakenings ,fav,n,interested,interest,  way she is now - without any comprehension or response. # Kaufman tries to feign interest. He glances to the others 1 Sayer has summoned to the room -
pretend,2015,FIC,MassachRev ,fav,n,interested,interest,"  the rent. What had we done? I blundered back into my clothes, pretending some interest in our conversation, talked about meeting again, but nervously waited for"
pretend,2014,FIC,Confrontation ,fav,n,interested,interest,"  , but he felt like he might cry. She wasn't even going to pretend interest in him? "" I just didn't want you to have any illusions"
pretend,2013,FIC,Bk:ReturnNovel ,fav,n,interested,interest,"  while watching the news, rather enjoying the idea that he no longer had to pretend interest in what was going on in the world. # He tried Skelly a"
pretend,2013,FIC,Bk:AshfordAffair ,fav,n,interested,interest,  as though he were going instead of she. Addie had nodded and smiled and pretended an interest she didn't feel. To do otherwise would be to acknowledge that
pretend,2013,FIC,ParisRev ,fav,n,interested,interest,"  sheaf of papers, many of them finger paintings. Drew looked through them, pretending interest, although the paintings were a mess. Then he tried to fold them"
pretend,2011,FIC,NewEnglandRev ,fav,n,interested,interest,"  of Dale, not even his pants. She went again the next Sunday, pretending a little interest in someone she knew would never be there - an old almost-flame"
pretend,2010,FIC,Bk:LateNightTrain ,fav,n,interested,interest,"  commercials: a basketball game. Dad likes to watch basketball, and Mom is pretending an interest. They both have significant hearing loss and probably don't realize how"
pretend,2009,FIC,Bk:ShanghaiGirls ,fav,n,interested,interest,"  As my father continues to pick at my faults, I shut him out and pretend an interest in our dining room. On the wall adjoining the kitchen, four"
pretend,2007,FIC,SouthernRev ,fav,n,interested,interest,"  stood in front of the station window waiting for her to fill her tank, pretending interest in a display of Tom's Peanut Logs. Heat waves rose from the"
pretend,2006,FIC,FantasySciFi ,fav,n,interested,interest,"  He was patient besides. He stood in the art supply store for hours, pretending particular interest in the anatomical hinged figurines of sexless men and women in the front"
pretend,2005,FIC,VirginiaQRev ,fav,n,interested,interest,"  been redding up the house all day, and I must make my manners and pretend interest in questions of new pews and robes for the choir. Will we dispatch"
pretend,2004,FIC,Bk:OutStorm ,fav,n,interested,interest,  around. Neither did the prime minister. Her peers were not as polite. Pretending vast interest in the flags on either side of the linen-draped altar at the front
pretend,2003,FIC,FantasySciFi ,fav,n,interested,interest,"  didn't eat anything, did he? "" I looked out the window, pretending a new interest in our backyard, then, at her, with a little"
pretend,2003,FIC,Bk:OurLadyForest ,fav,n,interested,interest,"  someone else. But let Carolyn speak! That's okay, said Carolyn, pretending no interest in the path of the bucket but noting with private giddy enthusiasm the"
pretend,1998,FIC,Analog ,fav,n,interested,interest,  been a drinking man. They asked politely what I'd been up to and pretended great interest in my stories and news dispatches. They swore they read all of
pretend,1996,FIC,Triquarterly ,fav,n,interested,interest,"  the shoplifter, or had merely been taking the mickey out of the guard, pretending interest in that frightful tie? Whichever, their timing was spookily apt. They"
pretend,1995,FIC,ParisRev ,fav,n,interested,interest,"  to allow me to pass ahead gracefully and leave him be. Instead, I pretended great interest in a sign designating local parking regulations, as if the low-slung sports"
pretend,1995,FIC,FantasySciFi ,fav,n,interested,interest,"  drew near, Jan could hear her muttering to herself. Jan looked away, pretending great interest in the advertisement across the way. # The smiling woman in a"
pretend,1995,FIC,FantasySciFi ,fav,n,interested,interest,"  Who was your model? "" # Julia turned away from the intrusive question and pretended an interest in an Erte print displayed on the rear wall. She would not"
pretend,1994,FIC,Bk:RockingBabies ,fav,n,interested,interest,"  "" Shavonne said. "" They all the same. "" She turned away, pretending interest in a large group of noisy medical students coming in for rounds. """
pretend,1993,FIC,SouthwestRev ,fav,n,interested,interest,"  . The diet kind! "" # I turned to look out the window, pretending interest in the trees by the ravine. "" Coffee, "" I said."
pretend,1992,FIC,AntiochRev ,fav,n,interested,interest,"  Guilty, flushed with pride, the lovers talk about their children often: each pretends a genuine interest in the other's child. Mikey is the brightest boy in"
pretend,1992,FIC,Bk:AllAroundTown ,fav,n,interested,interest,"  in mint condition, a fortune in landscaping and on a cul-de-sac. "" Opal pretended interest, poring over the specifics listed under the picture. "" That would be"
pretend,1992,FIC,Bk:Hideaway ,fav,n,interested,interest,"  she was afraid Mr. and Mrs. Harrison would think she was a brownnosing phony, pretending interest as a way of apologizing for the wisecracks she had made in Mr. Gujilio"
